InvoiceDate,Seccion A,Seccion B,Seccion C,Seccion D,Seccion E,Seccion F
2014-05-04,8235.648994243837,30573.05872689119,180023.48566245526,39360.20144584678,17234.067745373148,7312.625407287896
2014-05-05,0.0,0.0,0.0,345.37159800582396,725.7239999999994,0.0
2014-05-15,0.0,0.0,1393.2767260923722,520.5722832,1533.4975223393856,0.0
2014-05-18,0.0,0.0,0.0,0.0,3971.602202298869,0.0
2014-05-19,927.6925295420267,3758.5034944413974,10996.010323969505,906.8266425670479,2927.8729915023573,4672.329791333895
2014-05-22,0.0,671.7256591658054,0.0,0.0,2256.203476315615,0.0
2014-05-23,0.0,0.0,0.0,3245.1803742161537,0.0,0.0
2014-05-24,0.0,0.0,777.6625935024981,0.0,0.0,0.0
2014-05-26,0.0,0.0,2317.7494950778732,0.0,1612.7286408124262,1313.1718281932328
2014-05-27,0.0,0.0,0.0,274.7843393208549,0.0,0.0
2014-05-29,11242.925360273652,103.60586813658526,264.96,230.39999999999998,0.0,2880.019733401719
2014-05-30,0.0,2894.4424724148525,0.0,0.0,4244.100043908345,0.0
2014-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,286.73148450871815,0.0,0.0,0.0,276.012,0.0
2014-06-02,220.41119999999995,641.6664,0.0,6.420750434278022,0.0,146.84594288703266
2014-06-03,0.0,45.37799286525698,0.0,105.278170062157,0.0,72.0864
2014-06-04,11980.030178091705,108811.12042886254,46591.00741253512,68770.32949804893,59384.60991740364,17026.507869887126
2014-06-05,1183.0038630335987,916.9277922218018,822.0996,1461.3389923131467,11475.978616071836,1629.991815156379
2014-06-06,0.0,813.2488311600056,0.0,787.8325744784935,0.0,0.0
2014-06-08,24333.26873522484,38401.40020226816,15196.657396237737,34464.52289729701,17824.715640130566,15422.649568232759
2014-06-09,5922.718749381789,765.5391256882716,7030.840502801737,1911.4740452026872,4081.605153033971,1086.0318555614558
2014-06-10,1032.5949690415214,0.0,0.0,0.0,0.0,0.0
2014-06-12,0.0,666.9,1278.3717599693068,0.0,335.2727100614465,0.0
2014-06-13,100.50479999999999,1579.5947823530507,1893.4673208740871,0.0,2953.4921200185368,0.0
2014-06-15,0.0,0.0,0.0,0.0,0.0,3479.146962283503
2014-06-16,8338.819449108092,4213.608959648764,8763.651590717081,13447.80363875226,7550.757486396493,9573.075256335946
2014-06-19,7646.1179167132905,2130.366899682176,6669.826964608851,0.0,0.0,0.0
2014-06-20,0.0,0.0,0.0,206.2209595750195,0.0,0.0
2014-06-21,0.0,0.0,0.0,0.0,0.0,1152.235389531171
2014-06-22,0.0,4467.614586433372,0.0,0.0,0.0,0.0
2014-06-23,0.0,271.531314,557.0052039857915,1573.388693642119,3222.5804629361946,1914.4737323621948
2014-06-26,0.0,0.0,0.0,0.0,1547.4758776945362,0.0
2014-06-27,1719.6781918855172,552.8646970110985,899.7827654821165,1647.9009888928913,1504.3954079419555,0.0
2014-06-28,0.0,1213.278459378676,853.7808474260124,0.0,3655.6039455458654,0.0
2014-06-30,0.0,0.0,0.0,4444.4136500042105,7326.157139684761,0.0
2014-07-03,16.851427872901237,593.1496515361853,8253.318495946909,4401.105225495575,452.9689411741171,2962.0863822749952
2014-07-04,40325.242953689136,40435.28806362899,129927.37177341287,53896.73329775428,124101.89777461426,19108.70111216868
