IDSupplier;Product;num_invoices;avg_lead_time_real;total_amount_eur;on_time_rate
PROV40000520;MP019423;228;29,377510040160644;448628,91991057585;0,07630522088353414
PROV40000520;MP019450;181;28,824742268041238;552971,8479423233;0,0979381443298969
PROV40002330;MP019307;170;31,359550561797754;732561,3764384423;0,08426966292134831
PROV1441;MP019602;151;29,804878048780488;868894,1400844196;0,08536585365853659
PROV1485;P5092;126;28,30597014925373;488746,42480750836;0,35074626865671643
PROV40000520;MP019110;114;30,425;268793,5880473501;0,06666666666666667
PROV1485;P5220;112;30,266129032258064;1126106,1968543923;0,29838709677419356
PROV1485;P5133;109;27,694915254237287;798559,1687449996;0,3728813559322034
PROV1485;P4169;107;28,50413223140496;376595,78767297626;0,36363636363636365
PROV1485;P5083;102;26,87735849056604;430301,21292818215;0,3867924528301887
PROV1485;P4222;102;30,16521739130435;883145,2788746547;0,3130434782608696
PROV1485;P5069;102;30,196581196581196;1515904,2849620022;0,27350427350427353
PROV1485;P4240;99;27,81132075471698;56181,50736009191;0,37735849056603776
PROV40001000;MP02700;92;31,7;1399947,0186385752;0,23
PROV1485;P4305;90;28,5531914893617;93262,47302729882;0,3404255319148936
PROV1485;P4371;84;29,471910112359552;531778,8116069974;0,3146067415730337
PROV1485;P5154;83;31,142857142857142;1284745,7550118957;0,2976190476190476
PROV40002330;MP019110;83;33,23809523809524;230718,71395650163;0,07142857142857142
PROV40002330;MP019401;82;30,42168674698795;124140,979269551;0,07228915662650602
PROV1475;MP02519;81;30,236363636363638;1171674,3391152692;0,8727272727272727
PROV1876;MP05000;81;30,271604938271604;245245,89609697557;0,08641975308641975
PROV1485;P5241;80;28,397590361445783;240291,78452266962;0,3253012048192771
PROV1003;MP03513;79;30,097560975609756;0,0;0,7804878048780488
PROV1485;P4214;79;30,987654320987655;259055,29243325203;0,2839506172839506
PROV1485;P4263;77;28,792207792207794;129219,42322804935;0,35064935064935066
PROV1485;P4267;77;28,94871794871795;162897,48403706384;0,3076923076923077
PROV1485;P4176;76;27,82894736842105;155199,2765626854;0,3815789473684211
PROV1485;P5208;74;27,662337662337663;75408,33236032345;0,35064935064935066
PROV1485;P4439;74;29,896103896103895;447086,4294330167;0,3246753246753247
PROV1485;P7003;74;28,95945945945946;199279,66756088572;0,32432432432432434
PROV40001000;MP02701;73;29,871794871794872;1686522,0559188102;0,3717948717948718
PROV1485;P4279;73;29,0;178399,03472650572;0,33783783783783783
PROV1485;P4234;72;28,34722222222222;69363,24036401293;0,3611111111111111
PROV1485;P4204;72;27,26027397260274;44834,95712069976;0,3561643835616438
PROV1650;MP04244;72;30,68918918918919;211558,40283516378;0,05405405405405406
PROV1734;MP03122;71;31,2;353809,7844598156;0,09333333333333334
PROV1485;P4189;70;30,619718309859156;93770,21675033393;0,323943661971831
PROV1475;MP02559;69;29,481927710843372;544772,0684080392;0,9036144578313253
PROV1485;P5179;69;27,180555555555557;184046,99177068236;0,4166666666666667
PROV1485;P4756;69;27,84931506849315;40309,596786538765;0,3835616438356164
PROV1465;MP04209;69;30,824324324324323;118557,95366188753;0,013513513513513514
PROV1485;P4473;68;28,069444444444443;234461,08555999858;0,3611111111111111
PROV1485;P4235;68;28,318840579710145;63934,377352637515;0,34782608695652173
PROV1485;P4185;66;28,59090909090909;74642,90154295588;0,3939393939393939
PROV1485;P4438;66;29,833333333333332;72989,23468327094;0,30303030303030304
PROV1756;P9289;64;28,988095238095237;23599,76661782446;0,8452380952380952
PROV1485;P5119;64;28,09375;38928,01342571899;0,34375
PROV1485;P4224;64;27,676923076923078;112307,58428687474;0,3384615384615385
PROV41000980;MP02895;63;33,342465753424655;9537,38087230156;0,1095890410958904
PROV1485;P5070;62;28,174603174603174;60047,85156468433;0,4126984126984127
PROV1485;P4190;62;28,225806451612904;67282,76465431682;0,3709677419354839
PROV1485;P4353;62;28,5;194840,26093165757;0,359375
PROV1485;P4293;62;28,8125;138917,73500036125;0,34375
PROV1485;P4383;62;30,838709677419356;306233,8605525058;0,3225806451612903
PROV1734;MP03121;62;33,492537313432834;311163,72041823575;0,1044776119402985
PROV1485;P5072;61;29,126984126984127;78504,23045773029;0,3968253968253968
PROV1485;P6120;61;28,524590163934427;26229,082069460685;0,3442622950819672
PROV1485;P5247;61;30,603174603174605;73034,93644288479;0,3333333333333333
PROV1485;P5117;61;30,16393442622951;64356,84642352184;0,29508196721311475
PROV1485;P4278;60;28,35;38984,95545295818;0,4
PROV1756;P9247T;59;31,761904761904763;18156,843499003804;0,7619047619047619
PROV1485;P4188;59;26,114754098360656;55104,76393847228;0,3770491803278688
PROV1756;P9227T;58;29,630769230769232;26735,849227419298;0,8153846153846154
PROV1485;P4220;58;29,0;34256,47042812794;0,3103448275862069
PROV1756;P9476;57;28,8375;28419,064938048956;0,8
PROV1485;P4375;57;29,68421052631579;30441,742512104047;0,3508771929824561
PROV1485;P5101;57;27,17543859649123;36271,7376713348;0,3508771929824561
PROV1485;P5138;57;28,894736842105264;73453,01689960135;0,3333333333333333
PROV1938;MP019607;57;27,633333333333333;633182,2902088575;0,05
PROV1485;P4229;56;28,396551724137932;62693,46525121007;0,3793103448275862
PROV1485;P4255;56;28,321428571428573;27274,26915146502;0,375
PROV1485;P5180;56;28,80701754385965;168326,5159628594;0,3333333333333333
PROV1485;P5131;56;29,785714285714285;76967,21436813172;0,32142857142857145
PROV1485;P5162;55;28,672727272727272;168261,9381321565;0,36363636363636365
PROV1485;P5158;55;30,107142857142858;49167,522007793676;0,35714285714285715
PROV1485;P4177;55;31,178571428571427;16086,122525945573;0,2857142857142857
PROV41000980;MP02896;55;30,360655737704917;11730,467706309713;0,18032786885245902
PROV1129;MP02849;55;28,949152542372882;104616,70999627223;0,06779661016949153
PROV1585;MP02519;54;30,926470588235293;1235878,9847007836;0,8970588235294118
PROV1485;P5169;54;28,35185185185185;46733,18087681635;0,37037037037037035
PROV1585;MP02593;53;32,25396825396825;708919,7499170819;0,8571428571428571
PROV1485;P9903E;53;31,19298245614035;129199,74254927124;0,24561403508771928
PROV1485;P5181;52;27,0188679245283;52154,60921630292;0,41509433962264153
